number,school,team,exhibition,city,state,track,rank,total,Air Trajectory,Anatomy and Physiology,Astronomy,Chemistry Lab,Codebusters,Detector Building,Disease Detectives,Dynamic Planet,Ecology,Experimental Design,Fermi Questions,Forensics,Forestry,Fossils,Geologic Mapping,Microbe Mission,Optics,Robot Tour,Scrambler,Tower,Wind Power,Write It Do It
35,Langley High School,Green,,McLean,VA,,1,151,31,11,1,2,1,4,4,2,26,1,11,1,5,1,4,5,17,10,1,1,6,6
61,W.T. Woodson High School,A,,Fairfax,VA,,2,197,1,3,3,35,2,3,1,6,12,14,24,14,3,4,11,7,10,11,10,3,18,2
36,Langley High School,Gold,,McLean,VA,,3,203,11,2,25,3,14,5,2,7,18,6,2,6,16,11,14,12,1,18,16,2,5,7
15,Lake Braddock Secondary School,Gold,,Burke,VA,,4,231,13,6,26,4,5,13,9,19,1,2,7,12,2,3,2,6,23,1,15,18,7,37
8,Reservoir High School,B,,Fulton,MD,,5,297,23,4,31,6,6,7,6,4,6,5,31,15,26,33,27,1,3,4,7,31,17,4
1,James W. Robinson Jr. Secondary School,A,,Fairfax,VA,,6,315,2,29,12,20,15,2,28,1,35,9,12,16,10,8,3,18,24,20,2,28,11,10
22,Atholton High School,A,,Columbia,MD,,7,351,32,12,16,22,10,20,10,13,4,8,34,5,8,30,6,8,15,57,5,30,1,5
46,Walter Johnson High School,,,Bethesda,MD,,8,365,22,7,10,5,21,10,25,18,33,20,4,11,11,9,10,21,36,24,24,14,9,21
50,Oakton High School,A,,Vienna,VA,,9,369,18,21,5,36,20,25,3,5,3,7,9,39,1,6,1,13,26,25,4,43,33,26
18,"BASIS Independent Washington, D.C.",A,,Washington,DC,,10,381,57,31,9,14,7,6,5,26,14,15,36,35,6,7,16,2,15,14,26,35,4,1
62,W.T. Woodson High School,B,,Fairfax,VA,,11,414,6,8,2,8,13,22,23,12,22,10,14,9,28,37,19,17,35,22,29,7,28,43
41,Centreville High School,A,,Clifton,VA,,12,431,26,17,36,1,8,11,13,14,19,17,30,7,27,14,20,10,2,57,28,10,32,32
